Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,Last 7 Days,CoinA,happyness,likers
,90,Empty Set Dollar  ESD  ESD,$0.527214,-9.3%,-20.5%,-21.9%,"$6,308,598","$258,449,481",,https://www.coingecko.com/en/coins/Empty-Set,,
,91,Kyber Network  KNC  KNC,$1.23,0.3%,2.6%,7.2%,"$65,969,800","$246,452,920",,https://www.coingecko.com/en/coins/Kyber-Network,87.1%,
,92,Ocean Protocol  OCEAN  OCEAN,$0.585153,-1.3%,1.3%,33.1%,"$80,577,477","$245,194,861",,https://www.coingecko.com/en/coins/Ocean-Protocol,91.39%,
,93,BitTorrent  BTT  BTT,$0.00036524,-0.5%,2.3%,-15.2%,"$163,354,824","$240,717,520",,https://www.coingecko.com/en/coins/BitTorrent,89.09%,
,94,Quant  QNT  QNT,$19.05,-1.1%,6.7%,17.2%,"$5,828,592","$235,463,192",,https://www.coingecko.com/en/coins/Quant,93.33%,
,95,Balancer  BAL  BAL,$21.49,-0.7%,9.7%,11.0%,"$93,013,952","$230,690,491",,https://www.coingecko.com/en/coins/Balancer,97.73%,
,96,Band Protocol  BAND  BAND,$10.03,-0.6%,-2.0%,9.3%,"$211,966,376","$224,450,017",,https://www.coingecko.com/en/coins/Band-Protocol,85.37%,
,97,Enjin Coin  ENJ  ENJ,$0.241893,-1.6%,6.7%,29.1%,"$130,188,861","$223,133,711",,https://www.coingecko.com/en/coins/Enjin-Coin,85.87%,
,101,Verge  XVG  XVG,$0.01336560,-1.4%,4.0%,-8.0%,"$20,068,943","$219,893,554",,https://www.coingecko.com/en/coins/Verge,92.04%,
,98,Siacoin  SC  SC,$0.00482739,-1.7%,6.8%,-1.1%,"$15,254,692","$219,380,870",,https://www.coingecko.com/en/coins/Siacoin,75.0%,
,99,Bitcoin Gold  BTG  BTG,$12.51,-0.7%,2.0%,-16.0%,"$33,821,758","$219,150,989",,https://www.coingecko.com/en/coins/Bitcoin-Gold,61.76%,
